"Ign","Team","Deaths"
"ZmjjKK","EDward Gaming","52"
"nobody","EDward Gaming","48"
"Haodong","EDward Gaming","46"
"Smoggy","EDward Gaming","46"
"CHICHOO","EDward Gaming","45"
"Boostio","Evil Geniuses","42"
"Demon1","Evil Geniuses","42"
"jawgemo","Evil Geniuses","40"
"C0M","Evil Geniuses","37"
"Ethan","Evil Geniuses","37"
"whzy","Bilibili Gaming","36"
"yosemite","Bilibili Gaming","34"
"Chronicle","FNATIC","34"
"MrFaliN","FUT Esports","33"
"qw1","FUT Esports","33"
"biankk","Bilibili Gaming","32"
"Saadhak","LOUD","32"
"qRaxs","FUT Esports","32"
"BuZz","DRX","31"
"rin","Bilibili Gaming","31"
"Rb","DRX","31"
"AtaKaptan","FUT Esports","31"
"Boaster","FNATIC","30"
"MOJJ","FUT Esports","30"
"stax","DRX","30"
"Knight","Bilibili Gaming","29"
"Derke","FNATIC","29"
"MaKo","DRX","28"
"f0rsakeN","Paper Rex","28"
"Zest","DRX","28"
"Leo","FNATIC","28"
"Alfajer","FNATIC","28"
"Jinggg","Paper Rex","27"
"cauanzin","LOUD","25"
"Less","LOUD","25"
"aspas","LOUD","25"
"tuyz","LOUD","24"
"something","Paper Rex","22"
"d4v41","Paper Rex","21"
"mindfreak","Paper Rex","19"
