"Ign","Team","Kills"
"Demon1","Evil Geniuses","67"
"Ethan","Evil Geniuses","55"
"Smoggy","EDward Gaming","46"
"CHICHOO","EDward Gaming","42"
"ZmjjKK","EDward Gaming","42"
"C0M","Evil Geniuses","41"
"BuZz","DRX","41"
"whzy","Bilibili Gaming","39"
"Boostio","Evil Geniuses","39"
"something","Paper Rex","39"
"aspas","LOUD","38"
"Zest","DRX","38"
"nobody","EDward Gaming","38"
"f0rsakeN","Paper Rex","36"
"d4v41","Paper Rex","35"
"cauanzin","LOUD","35"
"jawgemo","Evil Geniuses","35"
"MaKo","DRX","34"
"Less","LOUD","34"
"Alfajer","FNATIC","33"
"MrFaliN","FUT Esports","31"
"Haodong","EDward Gaming","30"
"Jinggg","Paper Rex","30"
"biankk","Bilibili Gaming","30"
"Derke","FNATIC","29"
"Leo","FNATIC","29"
"qw1","FUT Esports","28"
"Knight","Bilibili Gaming","27"
"rin","Bilibili Gaming","27"
"stax","DRX","27"
"yosemite","Bilibili Gaming","25"
"Saadhak","LOUD","22"
"Rb","DRX","22"
"AtaKaptan","FUT Esports","21"
"Boaster","FNATIC","21"
"tuyz","LOUD","20"
"qRaxs","FUT Esports","19"
"mindfreak","Paper Rex","19"
"Chronicle","FNATIC","19"
"MOJJ","FUT Esports","18"
